	shannon_entropy
101-1001.1	3.8033399127349337
101-1001.2	4.217612882799926
101-1001.4	3.95771965370488
101-1002.2	4.409003996942912
101-1002.4	3.583601122886966
101-1002.7	4.5075323885030265
101-1003.1	5.674101230031306
101-1003.2	5.597146692956217
101-1003.4	3.3673668423558327
101-1003.6	4.531111444539083
110-1002.6	3.859233468387313
110-1003.1	4.956372315163549
110-1003.2	4.9896551374639415
110-1003.3	3.8677916662613083
110-1003.6	4.711605771468981
110-1004.1	3.9898769338259137
110-1004.7	5.176955689837784
110-1005.3	4.208154588900258
110-1005.4	3.346112471139288
110-1005.6	5.454026684479926
110-1005.7	5.52477628400843
114-1002.3	4.079119197314602
114-1002.5	3.8968234043782983
114-1002.6	5.058093688549974
114-1003.3	4.240379252953506
114-1004.2	3.4690241870994662
114-1004.6	4.267590589377394
114-1005.2	2.200778711829653
114-1005.5	4.0487669187748985
116-1001.4	2.3495999932982734
116-1001.7	4.8532170694874734
116-1001.U	2.829851129932763
116-1002.2	4.388581146650388
116-1002.4	3.1984258734424738
116-1002.6	3.255700158920277
116-1003.1	3.1434081569007395
116-1003.2	2.6778807448890807
116-1003.3	2.358832593625302
116-1003.6	2.949820875770768
116-1003.7	5.691129021919464
116-1004.2	4.6228340668738745
116-1004.4	4.602761482030407
116-1004.5	4.817873340031559
116-1004.6	4.612908371874846
116-1006.1	3.9008836009176173
116-1006.2	4.061091441454283
116-1006.4	3.3300507256386047
116-1008.1	3.5983812486616435
116-1009.2	2.4663943811074422
116-1010.5	3.8780213215146198
116-1011.2	4.4882387599163
116-1011.4	4.749589678118466
116-1012.1	4.720239238102126
116-1012.2	4.741042035930751
116-1012.4	3.6982309171809855
116-1012.5	4.872796369958822
117-1945.7	4.906736483592074
120-2201.2	4.93270424474555
120-2201.5	4.470112457541194
120-2201.6	5.537300832368262
120-2201.7	5.246898424096427
120-2203.2	3.8405715554854374
120-2203.4	2.813314188192214
120-2203.5	3.9167125730331436
120-2203.6	3.4835997165577988
120-2203.7	3.88032581475805
120-2205.2	4.182896853219113
120-2205.4	3.627333035010173
120-2205.5	5.566458030895629
120-2205.U	4.838291306051304
122-1001.1	5.183774711116193
122-1001.4	5.0280841927940205
122-1001.5	4.834890194445826
122-1001.6	4.992209200875246
122-1001.7	4.946964609846143
122-1002.2	5.857758108145427
122-1002.6	5.636535873540633
122-1003.1	4.155614909852604
122-1003.2	4.185033171941913
122-1003.3	4.375976793409569
